uid,наименование,статус
u1211,Учебное пособие для Управляющих: «Обеспечение и контроль деятельности магазина»,Просмотрен
u799,Учебное пособие для Управляющих: «Обеспечение и контроль деятельности магазина»,Просмотрен
u1403,Планшеты,Просмотрен
u1403,Подать заявку,Просмотрен
u1403,Прохождение оценочной процедуры на портале Oбучения,Просмотрен
u1403,Согласование заявок,Просмотрен
u167,Учебное пособие для Управляющих: «Обеспечение и контроль деятельности магазина»,Просмотрен
u1981,Учебное пособие для Управляющих: «Обеспечение и контроль деятельности магазина»,Просмотрен
u417,Просмотр результатов мероприятия,Просмотрен
u417,ФОРУМ_КАК ПОЛЬЗОВАТЬСЯ,Просмотрен
u1422,Учебное пособие по диагностике техники,Просмотрен
u417,Прохождение оценочной процедуры на портале Oбучения,Просмотрен
u417,Запуск теста на Портале обучения,Просмотрен
u417,Панель руководителя-Тесты,Просмотрен
u417,Портал обучения и развития Подать заявку,Просмотрен
u926,Аналитическая служба,Просмотрен
u926,"Проект ""Система постоянного развития""",Просмотрен
u926,Grammar_to be,Просмотрен
u926,СТАТЬЯ: Речь как индикатор личности.,Просмотрен
u269,Учебное пособие по диагностике техники,Просмотрен
u1359,Учебное пособие по диагностике техники,Просмотрен
u1088,Учебное пособие по диагностике техники,Просмотрен
u1329,Учебное пособие по диагностике техники,Просмотрен
u271,Учебное пособие по диагностике техники,Просмотрен
u39,Учебное пособие «Клиентские сервисы»,Просмотрен
u39,ПОРЯДОК ОРГАНИЗАЦИИ КОРПОРАТИВНОГО ОБУЧЕНИЯ,Просмотрен
u1919,Учебное пособие по диагностике техники,Просмотрен
u990,Инструкция «Мерчендайзинг»,Просмотрен
u1391,УЧЕБНОЕ ПОСОБИЕ «ИНДИВИДУАЛЬНЫЙ ЗАКАЗ»,Просмотрен
u961,Учебное пособие для директоров магазинов «Управление безопасностью магазина»,Просмотрен
u81,Учебное пособие Основы работы в SV-кассир,Просмотрен
u1371,Демонстрационная презентация,Просмотрен
u1371,"Демонстрационная презентация ""Последние веяния в технике""",Просмотрен
u443,Заполнение результатов аттестации сотрудников,Просмотрен
u443,СТАТЬЯ: Речь как индикатор личности.,Просмотрен
u65,СТАТЬЯ: Речь как индикатор личности.,Просмотрен
u175,Учебное пособие Основы работы в SV-кассир,Просмотрен
u65,СТАТЬЯ: 25 правил продаж,Просмотрен
u1422,Учебное пособие Основы работы в SV-кассир,Просмотрен
u272,СТАТЬЯ: Локус контроля и бизнес-результат - где связь.,Просмотрен
u1372,Вентиляторы,Просмотрен
